0.000000000000000000e+00,1.273175067782942449e+01,1.285906818460771817e+01,1.298638569138597809e+01,1.311370319816425400e+01,1.324102070494254413e+01,1.336833821172083603e+01,1.349565571849914214e+01,1.362297322527749266e+01
5.025125628140703592e-03,1.272760373121441901e+01,1.285487976852656544e+01,1.298215580583867634e+01,1.310943184315080501e+01,1.323670788046294078e+01,1.336398391777508188e+01,1.349125995508723541e+01,1.361853599239955415e+01
1.005025125628140718e-02,1.272343872875526216e+01,1.285067311604281848e+01,1.297790750333033927e+01,1.310514189061787960e+01,1.323237627790541993e+01,1.335961066519297091e+01,1.348684505248052723e+01,1.361407943976836066e+01
1.507537688442210991e-02,1.271925544369847039e+01,1.284644799813546179e+01,1.297364055257241588e+01,1.310083310700939307e+01,1.322802566144635961e+01,1.335521821588334568e+01,1.348241077032033353e+01,1.360960332475768375e+01
2.010050251256281437e-02,1.271505364929057968e+01,1.284220418578349410e+01,1.296935472227637476e+01,1.309650525876927141e+01,1.322365579526215917e+01,1.335080633175506648e+01,1.347795686824797023e+01,1.360510740474131630e+01
2.512562814070351883e-02,1.271083311877811539e+01,1.283794144996590525e+01,1.296504978115366313e+01,1.309215811234143700e+01,1.321926644352920022e+01,1.334637477471698297e+01,1.347348310590476039e+01,1.360059143709303697e+01
3.015075376884421982e-02,1.270659362540759041e+01,1.283365956166167798e+01,1.296072549791573358e+01,1.308779143416980340e+01,1.321485737042385722e+01,1.334192330667793769e+01,1.346898924293200572e+01,1.359605517918662265e+01
3.517587939698492427e-02,1.270233494242553185e+01,1.282935829184979859e+01,1.295638164127403869e+01,1.308340499069828766e+01,1.321042834012252420e+01,1.333745168954678206e+01,1.346447503897102926e+01,1.359149838839585200e+01
4.020100502512562873e-02,1.269805684307845262e+01,1.282503741150924803e+01,1.295201797994002213e+01,1.307899854837080156e+01,1.320597911680156855e+01,1.333295968523235331e+01,1.345994025366312918e+01,1.358692082209450191e+01
4.522613065326633319e-02,1.269375910061289403e+01,1.282069669161903391e+01,1.294763428262515426e+01,1.307457187363128348e+01,1.320150946463739317e+01,1.332844705564352594e+01,1.345538464664964451e+01,1.358232223765636348e+01
5.025125628140703765e-02,1.268944148827537610e+01,1.281633590315813898e+01,1.294323031804088764e+01,1.307012473292364163e+01,1.319701914780637964e+01,1.332391356268913540e+01,1.345080797757187874e+01,1.357770239245521715e+01
5.527638190954774211e-02,1.268510377931240818e+01,1.281195481710554063e+01,1.293880585489866597e+01,1.306565689269178776e+01,1.319250793048489889e+01,1.331935896827802779e+01,1.344621000607113892e+01,1.357306104386483270e+01
6.030150753768843963e-02,1.268074574697052626e+01,1.280755320444024292e+01,1.293436066190994715e+01,1.306116811937965672e+01,1.318797557684935029e+01,1.331478303431905807e+01,1.344159049178875165e+01,1.356839794925900122e+01
6.532663316582915103e-02,1.267636716449624856e+01,1.280313083614121972e+01,1.292989450778618910e+01,1.305665817943115314e+01,1.318342185107611009e+01,1.331018552272107414e+01,1.343694919436602397e+01,1.356371286601149784e+01
